author,introduction,price,title
(美)艾·里斯(Al Ries);杰克·特劳特(Jack Trout),本书重阐述了商战中的四种常用战略形式，如防御战、攻战、侧翼战和游战，针对每一种形式又提出了三条应遵循的原则，以及如何在具体的商战中应用这些原则。本书分析了商战中的实际案例：可口可乐与百事可乐的战役，汉堡王与温迪斯对麦当劳的挑战以及DEC对阵IBM等。这些人们熟知品牌的案例在作者精心的组织下，使读者不仅加深了对本书中心思想的理解，而且学习了如何在实战中具体应用各种营销战略和策略的技巧。 定位思想正在以下组织或品牌中得到运用 ?王老吉6年超越可口可乐，成为“中国饮料*罐” ?东阿阿胶5年市值增长15倍，从20亿元到300亿元 ?劲霸男装、香飘飘奶茶、芙蓉王香烟、方太厨电、九阳豆浆机、涪陵乌江榨菜、会稽山绍兴酒、大长江集团（豪爵摩托）、立白集团、乡村基快餐、雅迪电动车…… ?IBM成功转型，重铸辉煌 ?西南航空后来居上，市值超美国航空业三强总和 ?惠普、宝洁、汉堡王、美林、默克、雀巢、施乐、百事、宜家等财富500强企业，“棒！约翰”、莲花公司、泽西联合银行、Repsol石油、ECO饮用水、七喜……,27.3,商战(华章管理大师经典之定位系列)
万木杨,处理器是IT、通信、电子产业的基石，没有处理器，信息产业大厦就如同建立在沙滩之上。本书是一本图文并茂、生动幽默的处理器科普读本，全书行文风趣幽默，用类比来解释晦涩的技术，用图画来代替枯燥的文字。本着科技以人为本的理念，本书除了技术外，还介绍了大量人物和公司的故事，供大家闲读。第1章漫游计算机世界，介绍了计算机的前世今生，以及计算机的五脏六腑、七经八脉。第2~5章从外到内，介绍了处理器的外表和内心结构，处理器的核心技术尽在于此。第6章向软件人员介绍了怎样编写高效代码，处理器的客户就是程序员，程序员在处理器上开发程序，不了解处理器怎么好意思，而对处理器了解得越深，编写出来的代码执行效率就越高。第7章介绍了一大堆的处理器公司，现在的人们攒电脑，以后的人们说不定就能攒处理器了。第8章走进处理器的内“芯”世界，介绍处理器芯片是怎么设计与制造出来的。本书的主要读者是IT、通信、电子、半导体行业的从业人员以及学生。喜欢技术的看技术，不喜欢技术的看故事。,5.99,大话处理器——处理器基础知识读本
"Vamei,周昕梓",本书以树莓派基础工具，讲解Linux操作系统。树莓派是近年来流行的微型电脑，能用于各种有趣的硬件开发。树莓派中安装了Linux系统，可以充当操作系统的学习平台。本书按照“树莓派背景知识――树莓派使用――Linux使用――操作系统原理――实操项目”的顺序展开。读者不仅能体验到玩树莓派的乐趣，而且能全面了解操作系统的核心概念和原理。,5.99,树莓派开始，玩转Linux
游皓麟,Python 是一种面向对象的脚本语言，其代码简洁优美，类库丰富，发效率也很高，得到越来越多发者的喜爱，广泛应用于Web 发、网络编程、爬虫发、自动化运维、云计算、人工智能、科学计算等领域。预测技术在当今智能分析及其应用领域中发挥着重要作用，也是大数据时代的核心价值所在。随着AI 技术的一步深化，预测技术将更好地支撑复杂场景下的预测需求，其商业价值不言而喻。基于Python 来做预测，不仅能够在业务上快速落地，还让代码维护更加方便。对预测原理的深度剖析和算法的细致解读，是本书的一大亮。本书共分为3 篇。第1 篇介绍预测基础，主要包括预测概念理解、预测方法论、分析方法、特征技术、模型优化及评价，读者通过这部分内容的学习，可以掌握预测的基本步骤和方法思路。第2 篇介绍预测算法，该部分包含多元回归分析、复杂回归分析、时间序列及阶算法，内容比较有难度，需要细心品味。第3 篇介绍预测案例，包括短期日负荷曲线预测和股票价格预测两个实例，读者可以了解到实施预测时需要关注的技术细节。希望读者在看完本书后，能够将本书的精要融会贯通，一步在工作和学习实践中提炼价值。,41.99,Python预测之美：数据分析与算法实战(双色)
（美）Charles Petzold（查尔斯.佩措尔德）,　　这是一本讲述计算机工作原理的书。不过，你千万不要因为“工作原理”之类的字眼就武断地认为，它是晦涩而难懂的。作者用丰富的想象和清晰的笔墨将看似繁杂的理论阐述得通俗易懂，你丝毫不会感到枯燥和生硬。更重要的是，你会因此而获得对计算机工作原理较深刻的理解。这种理解不是抽象层面上的，而是具有一定深度的，这种深度甚至不逊于“电气工程师”和“程序员”的理解。,23.99,编码——隐匿在计算机软硬件背后的语言
猴子·数据分析学院,《数据分析思维：分析方法和业务知识》分为两大部分：“方法篇”和“实战篇”。 “方法篇”介绍了数据分析中常用的业务指标、分析方法以及如何用数据分析解决问题的步骤。 “实战篇”讲解了如何应用*篇的方法来解决工作中的问题，分享十二个行业（国内电商、跨境电商、金融信贷、金融第三方支付、家政、旅游、在线教育、运营商、内容、房产、汽车、零售）的业务知识，以及该行业内用数据分析解决问题的实例。每个行业都包括业务模式、业务指标、案例分析三方面的内容。 通过本书的学习，你会熟悉数据分析的方法，并将其灵活应用在自己所处的行业中。,29.99,数据分析思维:分析方法和业务知识
王国平,《Python Office：轻松实现Python办公自动化》分为6篇。 第1篇Python编程基础篇，介绍Python语言及发环境搭建、Python编程基础、利用Python行数据准备； 第2篇Excel数据自动化处理篇，介绍利用Python行数据处理、数据分析和数据可视化； 第3篇Word文本自动化处理篇，介绍文本自动化处理、利用Python行文本自动化处理、利用Python制作企业运营月报Word版； 第4篇幻灯片自动化制作篇，介绍幻灯片自动化制作、利用Python行幻灯片自动化制作、利用Python制作企业运营月报幻灯片； 第5篇邮件自动化处理篇，介绍利用Python批量发送电子邮件、利用Python获取电子邮件、利用Python自动发送电商会员邮件； 第6篇文件自动化处理篇，介绍利用Python行文件自动化处理。 《Python Office：轻松实现Python办公自动化》从实际工作需求的角度，详细介绍了基于Python的办公自动化技术，既可以作为职场人员学习Python办公自动化的自学用书，也可以作为高等院校相关专业学生的参考用书。,55.3,Python+Office:轻松实现Python办公自动化
马国俊,《Python网络爬虫与数据分析从门到实践》从初学者的视角出发，以案例实操为核心，系统地介绍网络爬虫的原理、工具使用与爬取技术，并详细讲解数据分析的各种技巧。本书主要内容包括：Python基础语法，数据分析工具NumPy、Pandas、Matplotlib的使用，网络爬虫库Urllib、BeautifulSoup、Scrapy，正则表达式在网络爬虫中的应用，数据预处理与数据分析方法、中文文本处理、文本向量化技术，以及机器学习算法在数据分析中的应用。书中还给出了大量案例和项目，可以帮助读者快速上手，提高实用技能。 《Python网络爬虫与数据分析从门到实践》内容丰富，注重实操，适用于网络爬虫岗位、数据分析岗位的初级工程师和各类工程技术人员，还可作为高校经济、管理、人文社科、大数据等专业的教学用书。,55.86,Python网络爬虫与数据分析从入门到实践
林锐,本书以高效展研发组织管理工作为目标，首先引研发管理的常见问题，然后介绍研发管理的概念、目的、建设思路，以及如何从头创建一个项目（包括项目管理过程、项目发过程、项目实施过程、产品管理和营销客服过程、研发支持过）。本书围绕研发管理体系的四个要素—思想方法、工作流程、配套工具和人力资源行了详细讲解。阅读本书，读者可从中学习到如何建立自我成长、高效能的研发作战团队，从而在预定的时间和成本之内发出让消费者满意的产品。,38.27,研发管理快速上手
王衡军,本书以任务为导向，讨论了机器学习和深度学习的主要问题，包括聚类、回归、分类、标注、降维、特征工程、超参数调优、序列决策（强化学习）和对抗攻等。书中对上述每个问题，分别从决策函数类模型、概率类模型和神经网络类模型三个角度来讨论具体的实现算法。   本书在内容上兼顾基础知识和应用实践。总体上，以基本理论知识为主线，逐步展，从概念手，逐步讨论算法思想，着重考虑知识的关联性，最后落实到机器学习扩展库和深度学习框架的具体应用。具体到每个模型，采用以示例手、逐渐深的方式，尽量给出详尽的分析或推导。   本书的特是主要通过示例来讨论相关模型，适合初学者门使用。本书示例代码采用Python 3程序设计语言编写。传统机器学习算法的应用示例主要以ScikitLearn机器学习扩展库来实现，隐马尔可夫模型示例用hmmlearn扩展库来实现，条件随机场模型示例用CRF 工具来实现。深度学习算法的示例采用TensorFlow 2框架和MindSpore框架来实现。   本书适合计算机、人工智能及相关专业的学生使用，对于相关技术研究人员也有参考价值。,48.93,机器学习与深度学习(Python版·微课视频版)
(美)尼尔·福特;(美)马克·理查兹;(美)普拉莫德·萨达拉奇;(澳)扎马克·德加尼,在软件架构中没有简单的决策。相反，这里充斥着艰难的部分——困难的问题，并且没有实践——迫使你在其中做选择。在本书中，你将学会如何用批判性思维来考虑分布式架构中的利弊。 本书探讨了选择适架构的策略。通过穿插一个虚构的技术小组的故事—— Sysops Squad——试验各种可能性，从如何确定服务粒度、管理工作流和编排、管理和解构契约、管理分布式事务，到如何优化运维性特征，例如可伸缩性、弹性和性能。通过关注在常见问题上，本书可以帮助作为架构师的你遇到问题时如何发掘和权衡利弊。无论你是渴望成为架构师，还是早已经验丰富，都无需手忙脚乱，本书将详细指导你在创建企业级应用和微服务的过程中取得成功。,83.0,分布式系统架构:架构策略与难题求解
[日]矢泽久雄,　　《计算机是怎样跑起来的》倡导在计算机迅速发展、技术不断革新的今天，回归到计算机的基础知识上。通过探究计算机的本质，提升工程师对计算机的兴趣，在面对复杂的*技术时，能够迅速掌握其要并灵活运用。 　　《计算机是怎样跑起来的》以图配文，以计算机的三大原则为端、相继介绍了计算机的结构、手工汇编、程序流程、算法、数据结构、面向对象编程、数据库、TCP/IP 网络、数据加密、XML、计算机系统发以及SE 的相关知识。本书适合计算机爱好者和相关从业人员阅读。 　　《计算机是怎样跑起来的》图文并茂，通俗易懂，非常适合计算机爱好者和相关从业人员阅读。,6.39,计算机是怎样跑起来的
王英英,本书主要内容包括MySQL的安装与配置、数据库的创建、数据表的创建、数据类型和运算符、MySQL函数、查询数据、数据表的操作（插、更新与删除数据）、索引、存储过程和函数、视图、触发器、用户管理、数据备份与还原、MySQL日志、性能优化、MySQL Replication、MySQL Workbench、MySQL Utilities、MySQL Proxy、PHP操作MySQL数据库和PDO数据库抽象类库等。*后通过3个综合案例的数据库设计，一步讲述MySQL在实际工作中的应用。 本书共有480个实例和16个综合案例，还有大量的经典习题。随书赠送了近20小时培训班形式的视频教学录像，详细讲解了书中每一个知识和每一个数据库操作的方法和技巧，同时还提供了本书所有例子的源代码，读者可以直查看和调用。 本书注重实战操作，帮助读者循序渐地掌握MySQL中的各项技术，非常适合MySQL数据库初学者、MySQL数据库发人员和MySQL数据库管理员阅读，同时也能作为高等院校和培训学校相关专业师生的教学用书。,44.8,MySQL 8从入门到精通(视频教学版)
秋叶  刘晓阳 编著,《和秋叶一起学——Word Excel PPT办公应用从新手到高手》是指导初学者学习Word/Excel/PPT办公软件的图书，通过职场中常见的案例，介绍初学者需要掌握的Word/Excel/PPT常用功能及使用技巧。 全书分为3篇，共11章。“Word办公应用”篇介绍办公文档的录与编排、图文混排型文档的制作、表格型文档的创建与编辑、Word样式与模板的应用、批量生成文档与邮件合并；“Excel办公应用”篇介绍工作簿和工作表的创建与美化，数据的排序、筛选与汇总，数据透视表与图表的应用，函数与公式的应用；“PPT设计与应用”篇介绍演示文稿的编辑与设计、动画设计与放映设置。 《和秋叶一起学——Word Excel PPT办公应用从新手到高手》适合职场人士阅读，也可以作为职业院校相关专业的教材或企业的办公技能培训参考用书。,38.34,和秋叶一起学——Word Excel PPT办公应用从新手到高手
杨晨,《财务分析那些事儿：Power BI财务数据实战》从财务分析师的视角阐述了Power BI在日常财务工作中的应用，主要包括搭建财务模型、制作分析报告、风险控制、制定预算和财务分析案例等方面，对提升数据处理效率、行可视化展示都提供了解决方案。 本书的特是将日常的财务工作和Power BI的各项功能结合起来介绍Power BI 在财务工作中的应用，可操作性强，读者在学习之后就可以立即应用到日常工作中。 本书适合财务分析师或有意转做财务分析的人员阅读，也可作为大专院校经管专业学生了解管理会计、财务分析等实际操作的阅读材料。,39.5,财务分析那些事儿:Power BI财务数据实战
徐捷;肖兴,本书通过100多个案例及300多分钟同步教学视频，帮助您完全精通剪映手机版和电脑版的操作。具体内容从下面两条线展： 一条是手机剪辑线，详细介绍了剪映手机版的剪辑功能，包括视频剪辑、滤镜调色、字幕动画、背景音效、卡特效及综合案例等。 另一条是电脑剪辑线，详细介绍了剪映电脑版的实用功能，包括字幕贴纸、音乐卡、抠图技术、蒙版合成、关键帧动画、转场特效、变速效果、片头片尾及综合案例等。,44.5,剪映短视频制作完全自学一本通(手机版+电脑版)
张杰,本书主要介绍如何使用Python 中的matplotlib、Seaborn、plotnine、Basemap 等包绘制专业图表。本书首先介绍Python 语言编程的基础知识，以及NumPy 和Pandas 的数据操作方法；再对比介绍matplotlib、Seaborn 和plotnine 的图形语法。本书系统性地介绍了使用matplotlib、Seaborn 和plotnine 绘制类别对比型、数据关系型、时间序列型、整体局部型、地理空间型等常见的二维和三维图表的方法。另外，本书也介绍了商业图表与学术图表的规范与差异，以及如何使用matplotlib 绘制HTML 交互页面动画。,15.0,Python数据可视化之美：专业图表绘制指南(全彩)
张琰彬;蒲鹏;等,本书基于DevOps的文化和理念，介绍基于DevOps的研发流程一体化的过程。 本书分为理论篇和实践篇。理论篇包括5章：DevOps诞生与发展，DevOps标准与落地框架，软件交付，基础设施即代码，软件质量管理。实践篇包括5章：DevOps基础实践，DaseDevOps示例程序，DaseDevOps测试用例，CI/CD实践，发布平台监控与日志实践。 本书内容充实、结构清楚，理论与实践相结合，适合作为高校相关课程的教材，也适合DevOps初学者和从事该行业并需要提升DevOps技能的人员参考。,48.86,DevOps原理与实践
(美)杰克 D·施瓦格,　　本书记录了17位令人称奇的金融怪杰： 　　一位在投资生涯早期几次输光离场的交易员，终将3万美金做到了8 000万美金。 　　一位基金经理管理的基金连续五年收益率都达到三位数（即收益率在100%~999%）。 　　一位股指期货交易高手，其平均月收益率达到25%，年化收益率超过1 400%。 　　一位毕业于麻省理工学院的理工科高手，通过量化交易历时16年取得250 000%的收益率，相当于2 500倍。 　　上述这些只是本书的部分例子，他们的大名在金融界早已耳熟能详，包括威廉·欧奈尔、保罗·都铎·琼斯、范·撒普、吉姆·罗杰斯……本书中每一位大师级交易者都凭借各自的交易方法取得了不可思议的成功。 　　是什么让他们脱颖而出呢？这些市场赢家一定是找到了制胜的交易圣杯，本书将会揭示成功交易者在交易态度和交易原则方面具有的重要共性。,38.35,金融怪杰:华尔街的*交易员
巴尔加瓦（Aditya Bhargava）,本书示例丰富，图文并茂，以让人容易理解的方式阐释了算法，旨在帮助程序员在日常项目中更好地发挥算法的能量。书中的前三章将帮助你下基础，带你学习二分查找、大O表示法、两种基本的数据结构以及递归等。余下的篇幅将主要介绍应用广泛的算法，具体内容包括：面对具体问题时的解决技巧，比如，何时采用贪婪算法或动态规划；散列表的应用；图算法；Kzui近邻算法。,12.49,算法图解
"纪禄平,刘辉,等",    本书为普通高等教育“十一五”*规划教材。     本书以当前主流微型计算机技术为背景，以建立系统级的整机概念为目的，深介绍计算机各功能子系统的逻辑组成和工作机制。全书共7章。第1章概述计算机的基本概念、发展历程和系统的硬件、软件组织及性能指标；第2章介绍数据信息的表示、运算和校验方法；第3章介绍CPU子系统的工作原理和多核等前沿的性能提升技术；第4章介绍存储子系统的存储原理、主存设计和性能改措施；第5章介绍I/O子系统，包括口、总线以及中断、DMA和通道等I/O传输控制方式；第6章介绍显示器等常见输/输出设备的工作原理；第7章以一个硬件系统模型的设计作为全书的总结。,11.25,计算机组成原理(第3版)
刘金鹏等,小生次接触Linux是2001年左右的事情。个被我安装到电脑上的Linux系统，是国产的红旗4.0。不过只是体验了一下，它的启动次数*不超过5次，之后就被我卸载了。,1.99,Linux入门很简单（无赠送光盘）
斋藤康毅,本书是深度学习真正意义上的门书，深浅出地剖析了深度学习的原理和相关技术。书中使用Python3，尽量不依赖外部库或工具，从基本的数学知识出发，带领读者从零创建一个经典的深度学习网络，使读者在此过程中逐步理解深度学习。书中不仅介绍了深度学习和神经网络的概念、特征等基础知识，对误差反向传播法、卷积神经网络等也有深讲解，此外还介绍了深度学习相关的实用技巧，自动驾驶、图像生成、强化学习等方面的应用，以及为什么加深层可以提高识别精度等疑难的问题。 本书适合深度学习初学者阅读，也可作为高校教材使用。,24.99,深度学习入门：基于Python的理论与实现
啊哈磊,《啊哈C语言！逻辑的挑战（修订版）》是一本非常有趣的编程启蒙书，《啊哈C语言！逻辑的挑战（修订版）》从中小学生的角度来讲述，没有生涩的内容，取而代之的是生动活泼的漫画和风趣幽默的文字。配合超萌的编程软件，《啊哈C语言！逻辑的挑战（修订版）》从始学习与计算机对话到自己独立制作一个游戏，由浅深地讲述编程的思维。同时，与计算机展的逻辑较量一定会让你觉得很有意思。你可以在茶余饭后阅读《啊哈C语言！逻辑的挑战（修订版）》，甚至坐在马桶上也可以看得津津有味。编程将会改变我们的思维，教会我们如何思考，让我们的思维插上计算机的翅膀，以一种全新的方式来感知世界。,12.49,啊哈C语言！逻辑的挑战(修订版)
乐章 著,理解设计的基本原则和概念，了解设计规范，具备一定的审美能力，会使用人工智能驱动的工具Midjourney和ChatGPT， 那么，人人都可以成为设计师，都可以设计出满足商业需求的作品。 本书共7章。第1章讲设计基础与版式构图，分别介绍色彩设计基础、版式设计，以及字体与版式的结合。第2章至第5章详细介绍Midjourney这一工具，从如何登录，到使用提示词生成图像，再到探索提示词与生成图像主题风格的关系，最后介绍Midjourney的高级玩法，满足设计师对设计细节的需求。第6章讨论了另一款人工智能驱动的工具ChatGPT与Midjourney在未来如何搭配使用，引发读者思考。最后一章选取了设计领域中常见的设计需求，涵盖商品促销、商业设计、品牌设计、IP潮玩、插画设计、界面交互设计、工业设计、空间设计和艺术摄影，由此凝练出附录的提示词大全，设计师可以根据设计需要替换提示词，这为读者的Midjourney之旅提供了参考和思路。 本书适合有设计需求，但是又没有办法雇用专业设计师的个人或团队，以及想要利用人工智能提高设计效率的设计师阅读参考。,44.67,人人都是设计师:设计基础+Midjourney+ChatGPT
中国电子学会,《机器人简史》（第三版）介绍了机器人发展的历史、态势和趋势，以简明扼要、通俗易懂、图文并茂的形式向读者展了一幅波澜壮阔的机器人世界的画卷。希望本书能为机器人领域的研究者和对该领域感兴趣的读者提供有益的借鉴与启示。,48.3,机器人简史(第三版)(全彩)
